y.year,m.month,z.zip,sum(c.amount)
2015,3,77878,250
2015,3,34786,500
2015,3,70503,1000
2015,3,94951,1100
2015,3,94610,2950
2015,3,77573,800
2015,3,55125,1000
2015,3,48836,700
2015,3,55439,500
2015,3,83835,300
2015,3,77546,6950
2015,3,76550,500
2015,3,33772,250
2015,3,3842,300
2015,3,20135,250
2015,3,30004,250
2015,3,33467,251
2015,3,72450,250
2015,3,30040,10850
2015,3,19803,1000
2015,3,19462,250
2015,3,75204,10800
2015,3,74011,2800
2015,3,26505,2000
2015,3,28712,250
2015,3,90277,1000
2015,3,75240,500
2015,3,77447,250
2015,3,29466,2850
2015,3,77079,2250
2015,3,59701,1050
2015,3,85208,1000
2015,3,78201,10800
2015,3,46037,250
2015,3,77833,500
2015,3,77429,5250
2015,3,27707,1250
2015,3,17022,250
2015,3,79708,32400
2015,3,96001,3200
2015,3,38016,1250
2015,3,78712,250
2015,3,73078,250
2015,3,66071,500
2015,3,72019,300
2015,3,30327,4300
2015,3,29672,250
2015,3,20431,300
2015,3,29645,750
2015,3,44718,500
2015,3,34481,850
2015,3,97221,201
2015,3,22620,500
2015,3,85737,500
2015,3,78730,1260
2015,3,85396,500
2015,3,71759,250
2015,3,30067,1575
2015,3,92780,250
2015,3,85118,300
2015,3,22046,1500
2015,3,52649,250
2015,3,20171,2000
2015,3,70808,1500
2015,3,77474,1000
2015,3,10589,201
2015,3,70781,4700
2015,3,77483,250
2015,3,44691,250
2015,3,44601,1300
2015,3,79762,601
2015,3,78703,14500
2015,3,78676,5650
2015,3,23347,250
2015,3,86401,250
2015,3,10024,2000
2015,3,85719,2700
2015,3,11235,2720
2015,3,68314,2750
2015,3,32256,1000
2015,3,32570,500
2015,3,60625,250
2015,3,74361,500
2015,3,95382,1000
2015,3,95041,300
2015,3,95355,250
2015,3,46970,300
2015,3,71822,500
2015,3,75025,750
2015,3,98109,250
2015,3,33458,300
2015,3,10580,6450
2015,3,75904,525
2015,3,30605,250
2015,3,46835,300
2015,3,75231,2000
2015,3,92708,1000
2015,3,33548,250
2015,3,32561,632
2015,3,46952,550
2015,3,21104,250
2015,3,78748,500
2015,3,10894,550
2015,3,75007,1750
2015,3,28147,1000
2015,3,95005,300
2015,3,27806,350
2015,3,20521,1250
2015,3,74020,250
2015,3,95014,21600
2015,3,59270,1050
2015,3,20503,250
2015,3,19130,500
2015,3,26451,250
2015,3,33180,500
2015,3,20853,250
2015,3,29412,500
